35.7,51.4167,12
36.3069,59.6042,6
32.6447,51.6675,13
35.8327,50.9915,12
38.0833,46.2833,7
29.61,52.5425,14
34.6461,50.8789,14
31.3203,48.6692,17
34.3167,47.0686,15
37.5486,45.0675,6
37.2833,49.6,12
30.2833,57.0667,16
29.4833,60.8667,13
34.8065,48.5162,9
31.8972,54.3678,15
34.08,49.7,11
38.25,48.3,5
27.2,56.25,20
36.6667,48.4833,8
36.2688,50.0041,9
35.3097,46.9989,11
33.4667,48.35,15
36.83,54.48,14
37.4667,57.3333,7
28.9667,50.8333,18
35.5833,53.3833,11
32.8664,59.2211,10
32.3256,50.8644,10
30.6667,51.5833,13
36.5633,53.0601,12
33.6374,46.4227,12
